,nominees,details,imdb_urls,award_show,year,award,winner,ref_year,metabase,rating,popularity,genres,budget,gross,minute,American Cinema Editors,BAFTA,Chicago Film Critics,Critics Choice,Golden Globes,Satellite,date,tt,tomatoURL,avg_score
65,Silver Linings Playbook,"Donna Gigliotti, Bruce Cohen, Jonathan Gordon",https://www.imdb.com//title/tt1045658/?ref_=ev_nom,Academy Awards,2013,Best Motion Picture of the Year,0,8,81,7.7,913.0,"['Comedy', 'Drama', 'Romance']",21000000.0,236412453,122,-1.0,-1.0,-1.0,0.0,-1.0,-1.0,"February 24, 2013",tt1045658,http://www.rottentomatoes.com/m/silver_linings_playbook/,0.8367924528301887
66,Zero Dark Thirty,"Mark Boal, Kathryn Bigelow, Megan Ellison",https://www.imdb.com//title/tt1790885/?ref_=ev_nom,Academy Awards,2013,Best Motion Picture of the Year,0,8,95,7.4,756.0,"['Drama', 'Thriller']",40000000.0,132820716,157,0.0,0.0,-1.0,0.0,0.0,-1.0,"February 24, 2013",tt1790885,http://www.rottentomatoes.com/m/zero_dark_thirty/,0.868673469387755
67,The Artist,Thomas Langmann,https://www.imdb.com//title/tt1655442/?ref_=ev_nom,Academy Awards,2012,Best Motion Picture of the Year,1,9,89,7.9,411.0,"['Comedy', 'Drama', 'Romance']",15000000.0,133432856,100,-1.0,1.0,-1.0,1.0,-1.0,-1.0,"February 26, 2012",tt1655442,http://www.rottentomatoes.com/m/the_artist/,0.842948717948718
68,Extremely Loud & Incredibly Close,Scott Rudin,https://www.imdb.com//title/tt0477302/?ref_=ev_nom,Academy Awards,2012,Best Motion Picture of the Year,0,9,46,6.9,600.0,"['Adventure', 'Drama', 'Mystery']",40000000.0,55247881,129,-1.0,-1.0,-1.0,0.0,-1.0,-1.0,"February 26, 2012",tt0477302,http://www.rottentomatoes.com/m/extremely_loud_and_incredibly_close/,0.6244318181818181
69,Hugo,"Graham King, Martin Scorsese",https://www.imdb.com//title/tt0970179/?ref_=ev_nom,Academy Awards,2012,Best Motion Picture of the Year,0,9,83,7.5,527.0,"['Drama', 'Family', 'Fantasy', 'Mystery']",150000000.0,185770160,126,0.0,-1.0,-1.0,0.0,0.0,-1.0,"February 26, 2012",tt0970179,http://www.rottentomatoes.com/m/hugo/,0.8409999999999997
70,Midnight in Paris,"Letty Aronson, Stephen Tenenbaum",https://www.imdb.com//title/tt1605783/?ref_=ev_nom,Academy Awards,2012,Best Motion Picture of the Year,0,9,81,7.7,197.0,"['Comedy', 'Fantasy', 'Romance']",17000000.0,154056033,96,-1.0,-1.0,-1.0,0.0,-1.0,-1.0,"February 26, 2012",tt1605783,http://www.rottentomatoes.com/m/midnight_in_paris/,0.8267567567567565
71,Moneyball,"Michael De Luca, Rachael Horovitz, Brad Pitt",https://www.imdb.com//title/tt1210166/?ref_=ev_nom,Academy Awards,2012,Best Motion Picture of the Year,0,9,87,7.6,985.0,"['Biography', 'Drama', 'Sport']",50000000.0,110206216,133,0.0,-1.0,-1.0,0.0,0.0,-1.0,"February 26, 2012",tt1210166,http://www.rottentomatoes.com/m/moneyball/,0.8267346938775509
72,The Descendants,"Jim Burke, Alexander Payne, Jim Taylor",https://www.imdb.com//title/tt1033575/?ref_=ev_nom,Academy Awards,2012,Best Motion Picture of the Year,0,9,84,7.3,813.0,"['Comedy', 'Drama']",20000000.0,177243185,115,1.0,0.0,-1.0,0.0,1.0,-1.0,"February 26, 2012",tt1033575,http://www.rottentomatoes.com/m/the_descendants_2011/,0.8088888888888889
73,The Help,"Brunson Green, Chris Columbus, Michael Barnathan",https://www.imdb.com//title/tt1454029/?ref_=ev_nom,Academy Awards,2012,Best Motion Picture of the Year,0,9,62,8.1,664.0,['Drama'],25000000.0,216639112,146,-1.0,0.0,-1.0,0.0,0.0,-1.0,"February 26, 2012",tt1454029,http://www.rottentomatoes.com/m/the_help/,0.734767441860465
74,The Tree of Life,"Sarah Green, Bill Pohlad, Dede Gardner, Grant Hill",https://www.imdb.com//title/tt0478304/?ref_=ev_nom,Academy Awards,2012,Best Motion Picture of the Year,0,9,85,6.8,306.0,"['Drama', 'Fantasy']",32000000.0,58409247,139,-1.0,-1.0,-1.0,0.0,-1.0,-1.0,"February 26, 2012",tt0478304,http://www.rottentomatoes.com/m/the_tree_of_life_2011/,0.7693873897959184
75,War Horse,"Steven Spielberg, Kathleen Kennedy",https://www.imdb.com//title/tt1568911/?ref_=ev_nom,Academy Awards,2012,Best Motion Picture of the Year,0,9,72,7.2,88.0,"['Action', 'Adventure', 'Drama', 'History', 'War']",66000000.0,177584879,146,0.0,-1.0,-1.0,0.0,0.0,-1.0,"February 26, 2012",tt1568911,http://www.rottentomatoes.com/m/war_horse/,0.7258749999999999
76,The King's Speech,"Iain Canning, Emile Sherman, Gareth Unwin",https://www.imdb.com//title/tt1504320/?ref_=ev_nom,Academy Awards,2011,Best Motion Picture of the Year,1,10,88,8.0,814.0,"['Biography', 'Drama', 'History']",15000000.0,427374317,118,0.0,1.0,-1.0,0.0,0.0,-1.0,"February 27, 2011",tt1504320,http://www.rottentomatoes.com/m/the_kings_speech/,0.8447619047619047
77,127 Hours,"Christian Colson, Danny Boyle, John Smithson",https://www.imdb.com//title/tt1542344/?ref_=ev_nom,Academy Awards,2011,Best Motion Picture of the Year,0,10,82,7.6,79.0,"['Biography', 'Drama']",18000000.0,60738797,94,-1.0,-1.0,-1.0,0.0,-1.0,-1.0,"February 27, 2011",tt1542344,http://www.rottentomatoes.com/m/127_hours/,0.8143333333333331
78,Black Swan,"Mike Medavoy, Brian Oliver, Scott Franklin",https://www.imdb.com//title/tt0947798/?ref_=ev_nom,Academy Awards,2011,Best Motion Picture of the Year,0,10,79,8.0,430.0,"['Drama', 'Thriller']",13000000.0,329398046,108,0.0,0.0,-1.0,0.0,0.0,-1.0,"February 27, 2011",tt0947798,http://www.rottentomatoes.com/m/black_swan_2010/,0.8170930232558138
79,Inception,"Christopher Nolan, Emma Thomas",https://www.imdb.com//title/tt1375666/?ref_=ev_nom,Academy Awards,2011,Best Motion Picture of the Year,0,10,74,8.8,100.0,"['Action', 'Adventure', 'Sci-Fi', 'Thriller']",160000000.0,829895144,148,0.0,0.0,-1.0,0.0,0.0,-1.0,"February 27, 2011",tt1375666,http://www.rottentomatoes.com/m/inception/,0.8384929577464787
80,The Fighter,"David Hoberman, Todd Lieberman, Mark Wahlberg",https://www.imdb.com//title/tt0964517/?ref_=ev_nom,Academy Awards,2011,Best Motion Picture of the Year,0,10,79,7.8,99.0,"['Biography', 'Drama', 'Sport']",25000000.0,129190869,116,0.0,-1.0,-1.0,0.0,0.0,-1.0,"February 27, 2011",tt0964517,http://www.rottentomatoes.com/m/the-fighter/,0.7662148936170211
81,The Social Network,"Scott Rudin, Dana Brunetti, Michael De Luca, Ceán Chaffin",https://www.imdb.com//title/tt1285016/?ref_=ev_nom,Academy Awards,2011,Best Motion Picture of the Year,0,10,95,7.7,572.0,"['Biography', 'Drama']",40000000.0,224920315,120,1.0,0.0,-1.0,1.0,1.0,-1.0,"February 27, 2011",tt1285016,http://www.rottentomatoes.com/m/the-social-network/,0.8759152542372882
82,Toy Story 3,Darla K. Anderson,https://www.imdb.com//title/tt0435761/?ref_=ev_nom,Academy Awards,2011,Best Motion Picture of the Year,0,10,92,8.3,825.0,"['Animation', 'Adventure', 'Comedy', 'Family', 'Fantasy']",200000000.0,1066969703,103,-1.0,-1.0,-1.0,0.0,-1.0,-1.0,"February 27, 2011",tt0435761,http://www.rottentomatoes.com/m/toy_story_3/,0.8771186440677965
83,True Grit,"Ethan Coen, Joel Coen, Scott Rudin",https://www.imdb.com//title/tt1403865/?ref_=ev_nom,Academy Awards,2011,Best Motion Picture of the Year,0,10,80,7.6,722.0,"['Drama', 'Western']",38000000.0,252276927,110,-1.0,0.0,-1.0,0.0,-1.0,-1.0,"February 27, 2011",tt1403865,http://www.rottentomatoes.com/m/true-grit-2010/,0.8217
84,Winter's Bone,"Anne Rosellini, Alix Madigan",https://www.imdb.com//title/tt1399683/?ref_=ev_nom,Academy Awards,2011,Best Motion Picture of the Year,0,10,90,7.2,324.0,"['Drama', 'Mystery']",2000000.0,13796834,100,-1.0,-1.0,-1.0,0.0,-1.0,-1.0,"February 27, 2011",tt1399683,http://www.rottentomatoes.com/m/10012136-winters_bone/,0.8257499999999999
85,The Hurt Locker,"Kathryn Bigelow, Mark Boal, Nicolas Chartier, Greg Shapiro",https://www.imdb.com//title/tt0887912/?ref_=ev_nom,Academy Awards,2010,Best Motion Picture of the Year,1,11,95,7.6,211.0,"['Drama', 'Thriller', 'War']",145352.0,49230772,131,1.0,1.0,-1.0,1.0,0.0,-1.0,"March 7, 2010",tt0887912,http://www.rottentomatoes.com/m/hurt_locker/,0.8482065217391304
86,A Serious Man,"Joel Coen, Ethan Coen",https://www.imdb.com//title/tt1019452/?ref_=ev_nom,Academy Awards,2010,Best Motion Picture of the Year,0,11,79,7.0,536.0,"['Comedy', 'Drama']",7000000.0,31430334,106,-1.0,-1.0,-1.0,0.0,-1.0,-1.0,"March 7, 2010",tt1019452,http://www.rottentomatoes.com/m/a_serious_man/,0.8064285714285712
87,An Education,"Finola Dwyer, Amanda Posey",https://www.imdb.com//title/tt1174732/?ref_=ev_nom,Academy Awards,2010,Best Motion Picture of the Year,0,11,85,7.3,684.0,['Drama'],7500000.0,26096852,100,-1.0,0.0,-1.0,0.0,-1.0,-1.0,"March 7, 2010",tt1174732,http://www.rottentomatoes.com/m/an_education/,0.8732432432432433
88,Avatar,"James Cameron, Jon Landau",https://www.imdb.com//title/tt0499549/?ref_=ev_nom,Academy Awards,2010,Best Motion Picture of the Year,0,11,83,7.8,267.0,"['Action', 'Adventure', 'Fantasy', 'Sci-Fi']",237000000.0,2790439000,162,0.0,0.0,-1.0,0.0,1.0,-1.0,"March 7, 2010",tt0499549,http://www.rottentomatoes.com/m/avatar/,0.8127450980392156
89,District 9,"Peter Jackson, Carolynne Cunningham",https://www.imdb.com//title/tt1136608/?ref_=ev_nom,Academy Awards,2010,Best Motion Picture of the Year,0,11,81,7.9,147.0,"['Action', 'Sci-Fi', 'Thriller']",30000000.0,210888950,112,0.0,-1.0,-1.0,-1.0,-1.0,-1.0,"March 7, 2010",tt1136608,http://www.rottentomatoes.com/m/district_9/,0.8071999999999998
90,Inglourious Basterds,Lawrence Bender,https://www.imdb.com//title/tt0361748/?ref_=ev_nom,Academy Awards,2010,Best Motion Picture of the Year,0,11,69,8.3,143.0,"['Adventure', 'Drama', 'War']",70000000.0,321455689,153,-1.0,-1.0,-1.0,0.0,0.0,-1.0,"March 7, 2010",tt0361748,http://www.rottentomatoes.com/m/inglourious_basterds/,0.8057758620689658
91,Precious,"Lee Daniels, Sarah Siegel-Magness, Gary Magness",https://www.imdb.com//title/tt0929632/?ref_=ev_nom,Academy Awards,2010,Best Motion Picture of the Year,0,11,79,7.3,649.0,['Drama'],10000000.0,63649529,110,-1.0,0.0,-1.0,0.0,0.0,-1.0,"March 7, 2010",tt0929632,http://www.rottentomatoes.com/m/precious/,0.7939024390243902
92,Up,Jonas Rivera,https://www.imdb.com//title/tt1049413/?ref_=ev_nom,Academy Awards,2010,Best Motion Picture of the Year,0,11,88,8.2,923.0,"['Animation', 'Adventure', 'Comedy', 'Family']",175000000.0,735099082,96,-1.0,-1.0,-1.0,0.0,-1.0,-1.0,"March 7, 2010",tt1049413,http://www.rottentomatoes.com/m/up/,0.8744545454545455
93,Up in the Air,"Daniel Dubiecki, Ivan Reitman, Jason Reitman",https://www.imdb.com//title/tt1193138/?ref_=ev_nom,Academy Awards,2010,Best Motion Picture of the Year,0,11,83,7.4,33.0,"['Comedy', 'Drama', 'Romance']",25000000.0,166842739,109,0.0,0.0,-1.0,0.0,0.0,-1.0,"March 7, 2010",tt1193138,http://www.rottentomatoes.com/m/up_in_the_air_2009/,0.8317021276595744
94,Slumdog Millionaire,Christian Colson,https://www.imdb.com//title/tt1010048/?ref_=ev_nom,Academy Awards,2009,Best Motion Picture of the Year,1,12,86,8.0,935.0,"['Drama', 'Romance']",15000000.0,378060798,120,1.0,1.0,-1.0,1.0,1.0,-1.0,"February 22, 2009",tt1010048,http://www.rottentomatoes.com/m/slumdog_millionaire/,0.8621153846153843
95,Frost/Nixon,"Brian Grazer, Ron Howard, Eric Fellner",https://www.imdb.com//title/tt0870111/?ref_=ev_nom,Academy Awards,2009,Best Motion Picture of the Year,0,12,80,7.7,965.0,"['Biography', 'Drama', 'History']",25000000.0,27426335,122,0.0,0.0,-1.0,0.0,0.0,-1.0,"February 22, 2009",tt0870111,http://www.rottentomatoes.com/m/frostnixon/,0.8219680851063829
96,Milk,"Dan Jinks, Bruce Cohen",https://www.imdb.com//title/tt1013753/?ref_=ev_nom,Academy Awards,2009,Best Motion Picture of the Year,0,12,84,7.5,553.0,"['Biography', 'Drama']",1453844.0,54589558,128,0.0,0.0,-1.0,0.0,-1.0,-1.0,"February 22, 2009",tt1013753,http://www.rottentomatoes.com/m/milk/,0.8254999999999999
97,The Curious Case of Benjamin Button,"Kathleen Kennedy, Frank Marshall, Ceán Chaffin",https://www.imdb.com//title/tt0421715/?ref_=ev_nom,Academy Awards,2009,Best Motion Picture of the Year,0,12,70,7.8,835.0,"['Drama', 'Fantasy', 'Romance']",150000000.0,335802786,166,0.0,0.0,-1.0,0.0,0.0,-1.0,"February 22, 2009",tt0421715,http://www.rottentomatoes.com/m/curious_case_of_benjamin_button/,0.7815624999999997
98,The Reader,"Anthony Minghella, Sydney Pollack, Donna Gigliotti, Redmond Morris",https://www.imdb.com//title/tt0976051/?ref_=ev_nom,Academy Awards,2009,Best Motion Picture of the Year,0,12,58,7.6,503.0,"['Drama', 'Romance']",32000000.0,108902486,124,-1.0,0.0,-1.0,0.0,0.0,-1.0,"February 22, 2009",tt0976051,http://www.rottentomatoes.com/m/reader/,0.6586029411764706
99,No Country for Old Men,"Scott Rudin, Ethan Coen, Joel Coen",https://www.imdb.com//title/tt0477348/?ref_=ev_nom,Academy Awards,2008,Best Motion Picture of the Year,1,13,91,8.1,299.0,"['Crime', 'Drama', 'Thriller']",25000000.0,171627166,122,0.0,0.0,-1.0,1.0,0.0,-1.0,"February 24, 2008",tt0477348,http://www.rottentomatoes.com/m/no_country_for_old_men/,0.8733783783783782
100,Atonement,"Tim Bevan, Eric Fellner, Paul Webster",https://www.imdb.com//title/tt0783233/?ref_=ev_nom,Academy Awards,2008,Best Motion Picture of the Year,0,13,85,7.8,485.0,"['Drama', 'Mystery', 'Romance', 'War']",30000000.0,131016624,123,-1.0,1.0,-1.0,0.0,1.0,-1.0,"February 24, 2008",tt0783233,http://www.rottentomatoes.com/m/atonement/,0.7956976744186046
101,Juno,"Lianne Halfon, Mason Novick, Russell Smith",https://www.imdb.com//title/tt0467406/?ref_=ev_nom,Academy Awards,2008,Best Motion Picture of the Year,0,13,81,7.4,616.0,"['Comedy', 'Drama']",7500000.0,232372681,96,-1.0,-1.0,-1.0,0.0,-1.0,-1.0,"February 24, 2008",tt0467406,http://www.rottentomatoes.com/m/juno/,0.8359999999999997
102,Michael Clayton,"Sydney Pollack, Jennifer Fox, Kerry Orent",https://www.imdb.com//title/tt0465538/?ref_=ev_nom,Academy Awards,2008,Best Motion Picture of the Year,0,13,82,7.2,543.0,"['Crime', 'Drama', 'Mystery', 'Thriller']",25000000.0,92991835,119,0.0,-1.0,-1.0,0.0,0.0,-1.0,"February 24, 2008",tt0465538,http://www.rottentomatoes.com/m/michael_clayton/,0.801578947368421
103,There Will Be Blood,"JoAnne Sellar, Paul Thomas Anderson, Daniel Lupi",https://www.imdb.com//title/tt0469494/?ref_=ev_nom,Academy Awards,2008,Best Motion Picture of the Year,0,13,93,8.2,598.0,['Drama'],25000000.0,76181545,158,0.0,0.0,-1.0,0.0,0.0,-1.0,"February 24, 2008",tt0469494,http://www.rottentomatoes.com/m/there_will_be_blood/,0.8492073170731707
104,The Departed,Graham King,https://www.imdb.com//title/tt0407887/?ref_=ev_nom,Academy Awards,2007,Best Motion Picture of the Year,1,14,85,8.5,192.0,"['Crime', 'Drama', 'Thriller']",90000000.0,291465034,151,0.0,0.0,-1.0,1.0,0.0,-1.0,"February 25, 2007",tt0407887,http://www.rottentomatoes.com/m/departed/,0.8240957446808509
105,Babel,"Alejandro G. Iñárritu, Jon Kilik, Steve Golin",https://www.imdb.com//title/tt0449467/?ref_=ev_nom,Academy Awards,2007,Best Motion Picture of the Year,0,14,69,7.4,952.0,['Drama'],25000000.0,135330182,143,1.0,0.0,-1.0,0.0,1.0,-1.0,"February 25, 2007",tt0449467,http://www.rottentomatoes.com/m/babel/,0.7650543478260867
106,Letters from Iwo Jima,"Clint Eastwood, Steven Spielberg, Robert Lorenz",https://www.imdb.com//title/tt0498380/?ref_=ev_nom,Academy Awards,2007,Best Motion Picture of the Year,0,14,89,7.9,236.0,"['Action', 'Adventure', 'Drama', 'History', 'War']",19000000.0,68673228,141,-1.0,-1.0,-1.0,0.0,-1.0,-1.0,"February 25, 2007",tt0498380,http://www.rottentomatoes.com/m/letters_from_iwo_jima/,0.8335227272727272
107,Little Miss Sunshine,"David T. Friendly, Peter Saraf, Marc Turtletaub",https://www.imdb.com//title/tt0449059/?ref_=ev_nom,Academy Awards,2007,Best Motion Picture of the Year,0,14,80,7.8,8.0,"['Comedy', 'Drama']",8000000.0,101058954,101,-1.0,0.0,-1.0,0.0,-1.0,-1.0,"February 25, 2007",tt0449059,http://www.rottentomatoes.com/m/little_miss_sunshine/,0.7817021276595743
108,The Queen,"Andy Harries, Christine Langan, Tracey Seaward",https://www.imdb.com//title/tt0436697/?ref_=ev_nom,Academy Awards,2007,Best Motion Picture of the Year,0,14,91,7.3,317.0,"['Biography', 'Drama', 'History']",9800000.0,123384128,103,0.0,1.0,-1.0,0.0,0.0,-1.0,"February 25, 2007",tt0436697,http://www.rottentomatoes.com/m/queen/,0.8578378378378377
109,Crash,"Paul Haggis, Cathy Schulman",https://www.imdb.com//title/tt0375679/?ref_=ev_nom,Academy Awards,2006,Best Motion Picture of the Year,1,15,69,7.8,123.0,"['Crime', 'Drama', 'Thriller']",6500000.0,98410061,112,1.0,0.0,1.0,0.0,-1.0,-1.0,"March 5, 2006",tt0375679,http://www.rottentomatoes.com/m/1144992-crash/,0.7881250000000001
110,Brokeback Mountain,"Diana Ossana, James Schamus",https://www.imdb.com//title/tt0388795/?ref_=ev_nom,Academy Awards,2006,Best Motion Picture of the Year,0,15,87,7.7,832.0,"['Drama', 'Romance']",14000000.0,178062759,134,0.0,1.0,0.0,1.0,1.0,-1.0,"March 5, 2006",tt0388795,http://www.rottentomatoes.com/m/brokeback_mountain/,0.800343137254902
111,Capote,"Caroline Baron, William Vince, Michael Ohoven",https://www.imdb.com//title/tt0379725/?ref_=ev_nom,Academy Awards,2006,Best Motion Picture of the Year,0,15,88,7.3,802.0,"['Biography', 'Crime', 'Drama', 'History']",7000000.0,49327405,114,-1.0,0.0,-1.0,0.0,-1.0,-1.0,"March 5, 2006",tt0379725,http://www.rottentomatoes.com/m/1151898-capote/,0.8455263157894736
112,"Good Night, and Good Luck.",Grant Heslov,https://www.imdb.com//title/tt0433383/?ref_=ev_nom,Academy Awards,2006,Best Motion Picture of the Year,0,15,80,7.4,,"['Biography', 'Drama', 'History']",7000000.0,54641191,93,0.0,0.0,0.0,0.0,0.0,-1.0,"March 5, 2006",tt0433383,http://www.rottentomatoes.com/m/1152019-good_night_and_good_luck/,0.850731707317073
113,Munich,"Kathleen Kennedy, Steven Spielberg, Barry Mendel",https://www.imdb.com//title/tt0408306/?ref_=ev_nom,Academy Awards,2006,Best Motion Picture of the Year,0,15,74,7.5,854.0,"['Drama', 'History', 'Thriller']",4152260.0,130982129,164,0.0,-1.0,-1.0,0.0,-1.0,-1.0,"March 5, 2006",tt0408306,http://www.rottentomatoes.com/m/munich/,0.7634285714285713
114,Million Dollar Baby,"Clint Eastwood, Al Ruddy, Tom Rosenberg",https://www.imdb.com//title/tt0405159/?ref_=ev_nom,Academy Awards,2005,Best Motion Picture of the Year,1,16,86,8.1,226.0,"['Drama', 'Sport']",30000000.0,216763646,132,0.0,-1.0,-1.0,0.0,0.0,-1.0,"February 27, 2005",tt0405159,http://www.rottentomatoes.com/m/million_dollar_baby/,0.8465624999999999
115,Finding Neverland,"Richard N. Gladstein, Nellie Bellflower",https://www.imdb.com//title/tt0308644/?ref_=ev_nom,Academy Awards,2005,Best Motion Picture of the Year,0,16,67,7.7,101.0,"['Biography', 'Drama', 'Family']",25000000.0,116650613,106,0.0,0.0,-1.0,0.0,0.0,-1.0,"February 27, 2005",tt0308644,http://www.rottentomatoes.com/m/finding_neverland/,0.7936170212765958
116,Ray,"Taylor Hackford, Stuart Benjamin, Howard Baldwin",https://www.imdb.com//title/tt0350258/?ref_=ev_nom,Academy Awards,2005,Best Motion Picture of the Year,0,16,73,7.7,747.0,"['Biography', 'Drama', 'Music']",20039730.0,123971376,152,-1.0,-1.0,-1.0,0.0,-1.0,-1.0,"February 27, 2005",tt0350258,http://www.rottentomatoes.com/m/ray/,0.7713414634146342
117,Sideways,Michael London,https://www.imdb.com//title/tt0375063/?ref_=ev_nom,Academy Awards,2005,Best Motion Picture of the Year,0,16,94,7.5,764.0,"['Comedy', 'Drama', 'Romance']",16000000.0,109706931,127,-1.0,-1.0,-1.0,1.0,-1.0,-1.0,"February 27, 2005",tt0375063,http://www.rottentomatoes.com/m/sideways/,0.8116216216216215
118,The Aviator,"Michael Mann, Graham King",https://www.imdb.com//title/tt0338751/?ref_=ev_nom,Academy Awards,2005,Best Motion Picture of the Year,0,16,77,7.5,161.0,"['Biography', 'Drama']",110000000.0,213719942,170,1.0,1.0,-1.0,0.0,1.0,-1.0,"February 27, 2005",tt0338751,http://www.rottentomatoes.com/m/aviator/,0.8174509803921567
119,The Lord of the Rings: The Return of the King,"Barrie M. Osborne, Peter Jackson, Fran Walsh",https://www.imdb.com//title/tt0167260/?ref_=ev_nom,Academy Awards,2004,Best Picture,1,17,94,8.9,278.0,"['Adventure', 'Drama', 'Fantasy']",94000000.0,1142219401,201,1.0,1.0,1.0,1.0,1.0,-1.0,"February 29, 2004",tt0167260,http://www.rottentomatoes.com/m/the_lord_of_the_rings_the_return_of_the_king/,0.8580232558139534
120,Lost in Translation,"Ross Katz, Sofia Coppola",https://www.imdb.com//title/tt0335266/?ref_=ev_nom,Academy Awards,2004,Best Picture,0,17,89,7.7,574.0,['Drama'],4000000.0,118685453,102,-1.0,0.0,0.0,0.0,-1.0,-1.0,"February 29, 2004",tt0335266,http://www.rottentomatoes.com/m/lost_in_translation/,0.8330555555555553
121,Master and Commander: The Far Side of the World,"Samuel Goldwyn Jr., Peter Weir, Duncan Henderson",https://www.imdb.com//title/tt0311113/?ref_=ev_nom,Academy Awards,2004,Best Picture,0,17,81,7.4,831.0,"['Action', 'Adventure', 'Drama', 'History', 'War']",150000000.0,211622535,138,0.0,0.0,-1.0,0.0,0.0,-1.0,"February 29, 2004",tt0311113,http://www.rottentomatoes.com/m/master_and_commander_the_far_side_of_the_world/,0.8241025641025641
122,Mystic River,"Robert Lorenz, Judie Hoyt, Clint Eastwood",https://www.imdb.com//title/tt0327056/?ref_=ev_nom,Academy Awards,2004,Best Picture,0,17,84,7.9,741.0,"['Crime', 'Drama', 'Mystery', 'Thriller']",25000000.0,156595191,138,0.0,-1.0,0.0,0.0,0.0,-1.0,"February 29, 2004",tt0327056,http://www.rottentomatoes.com/m/mystic_river/,0.8121951219512195
123,Seabiscuit,"Kathleen Kennedy, Frank Marshall, Gary Ross",https://www.imdb.com//title/tt0329575/?ref_=ev_nom,Academy Awards,2004,Best Picture,0,17,72,7.3,,"['Drama', 'History', 'Sport']",20854735.0,148336445,140,0.0,-1.0,-1.0,0.0,0.0,-1.0,"February 29, 2004",tt0329575,http://www.rottentomatoes.com/m/seabiscuit/,0.7637777777777777
124,Chicago,Martin Richards,https://www.imdb.com//title/tt0299658/?ref_=ev_nom,Academy Awards,2003,Best Picture,1,18,82,7.1,332.0,"['Comedy', 'Crime', 'Musical']",45000000.0,306776732,113,-1.0,0.0,-1.0,1.0,-1.0,-1.0,"March 23, 2003",tt0299658,http://www.rottentomatoes.com/m/chicago/,0.7975
125,Gangs of New York,"Alberto Grimaldi, Harvey Weinstein",https://www.imdb.com//title/tt0217505/?ref_=ev_nom,Academy Awards,2003,Best Picture,0,18,72,7.5,813.0,"['Crime', 'Drama']",100000000.0,193772504,167,1.0,0.0,-1.0,0.0,0.0,-1.0,"March 23, 2003",tt0217505,http://www.rottentomatoes.com/m/gangs_of_new_york/,0.7347368421052631
126,The Hours,"Scott Rudin, Robert Fox",https://www.imdb.com//title/tt0274558/?ref_=ev_nom,Academy Awards,2003,Best Picture,0,18,80,7.5,185.0,"['Drama', 'Romance']",25000000.0,108846072,110,0.0,0.0,-1.0,0.0,1.0,-1.0,"March 23, 2003",tt0274558,http://www.rottentomatoes.com/m/hours/,0.7549999999999999
127,The Lord of the Rings: The Two Towers,"Barrie M. Osborne, Fran Walsh, Peter Jackson",https://www.imdb.com//title/tt0167261/?ref_=ev_nom,Academy Awards,2003,Best Picture,0,18,87,8.7,445.0,"['Adventure', 'Drama', 'Fantasy']",94000000.0,951208089,179,0.0,0.0,0.0,0.0,0.0,-1.0,"March 23, 2003",tt0167261,http://www.rottentomatoes.com/m/the_lord_of_the_rings_the_two_towers/,0.8494565217391303
128,The Pianist,"Roman Polanski, Robert Benmussa, Alain Sarde",https://www.imdb.com//title/tt0253474/?ref_=ev_nom,Academy Awards,2003,Best Picture,0,18,85,8.5,567.0,"['Biography', 'Drama', 'Music', 'War']",35000000.0,120072577,150,-1.0,1.0,0.0,0.0,0.0,-1.0,"March 23, 2003",tt0253474,http://www.rottentomatoes.com/m/pianist/,0.847205882352941
129,A Beautiful Mind,"Brian Grazer, Ron Howard",https://www.imdb.com//title/tt0268978/?ref_=ev_nom,Academy Awards,2002,Best Picture,1,19,72,8.2,798.0,"['Biography', 'Drama']",58000000.0,316791257,135,0.0,0.0,0.0,1.0,1.0,-1.0,"March 24, 2002",tt0268978,http://www.rottentomatoes.com/m/beautiful_mind/,0.7988095238095237
130,In the Bedroom,"Graham Leader, Ross Katz, Todd Field",https://www.imdb.com//title/tt0247425/?ref_=ev_nom,Academy Awards,2002,Best Picture,0,19,86,7.4,945.0,"['Crime', 'Drama']",1700000.0,44763181,130,-1.0,-1.0,0.0,0.0,0.0,-1.0,"March 24, 2002",tt0247425,http://www.rottentomatoes.com/m/in_the_bedroom/,0.835
131,Moulin Rouge!,"Fred Baron, Martin Brown, Baz Luhrmann",https://www.imdb.com//title/tt0203009/?ref_=ev_nom,Academy Awards,2002,Best Picture,0,19,66,7.6,884.0,"['Drama', 'Musical', 'Romance']",50000000.0,184928135,127,-1.0,0.0,-1.0,0.0,-1.0,-1.0,"March 24, 2002",tt0203009,http://www.rottentomatoes.com/m/1107863-moulin_rouge/,0.7610714285714286
132,The Lord of the Rings: The Fellowship of the Ring,"Peter Jackson, Barrie M. Osborne, Fran Walsh",https://www.imdb.com//title/tt0120737/?ref_=ev_nom,Academy Awards,2002,Best Picture,0,19,92,8.8,151.0,"['Adventure', 'Drama', 'Fantasy']",93000000.0,887832826,178,0.0,1.0,0.0,0.0,0.0,-1.0,"March 24, 2002",tt0120737,http://www.rottentomatoes.com/m/the_lord_of_the_rings_the_fellowship_of_the_ring/,0.8531578947368421
